type,c_input,kernel_input,gamma_input,mean_test_score,std_test_score,mean_error_rate,std_error_rate,mean_fit_time,std_fit_time,mean_score_time,std_score_time
SVC,0.200,rbf,0.100,0.261,0.011,0.739,0.989,25.763,0.265,1.447,0.071
SVC,1.200,rbf,0.100,0.270,0.011,0.730,0.989,27.687,0.255,1.303,0.107
SVC,2.700,rbf,0.100,0.270,0.011,0.730,0.989,28.333,0.302,1.416,0.070
SVC,4.950,rbf,0.100,0.270,0.011,0.730,0.989,28.518,0.320,1.438,0.038
SVC,8.325,rbf,0.100,0.270,0.011,0.730,0.989,28.980,0.173,1.443,0.044
SVC,13.387,rbf,0.100,0.270,0.011,0.730,0.989,28.937,0.178,1.439,0.057
SVC,20.981,rbf,0.100,0.270,0.011,0.730,0.989,28.645,0.267,1.405,0.049
SVC,32.372,rbf,0.100,0.270,0.011,0.730,0.989,28.432,0.389,1.380,0.062
SVC,49.458,rbf,0.100,0.270,0.011,0.730,0.989,28.813,0.286,1.403,0.055
SVC,75.087,rbf,0.100,0.270,0.011,0.730,0.989,28.367,0.219,1.391,0.044
SVC,113.530,rbf,0.100,0.270,0.011,0.730,0.989,28.497,0.219,1.412,0.054
SVC,171.195,rbf,0.100,0.270,0.011,0.730,0.989,28.547,0.177,1.408,0.057
SVC,257.693,rbf,0.100,0.270,0.011,0.730,0.989,28.619,0.293,1.409,0.054
SVC,387.439,rbf,0.100,0.270,0.011,0.730,0.989,28.472,0.292,1.415,0.075
SVC,582.059,rbf,0.100,0.270,0.011,0.730,0.989,28.410,0.247,1.485,0.045
SVC,873.988,rbf,0.100,0.270,0.011,0.730,0.989,28.884,0.273,1.403,0.059
SVC,1311.882,rbf,0.100,0.270,0.011,0.730,0.989,28.824,0.208,1.503,0.040
SVC,1968.723,rbf,0.100,0.270,0.011,0.730,0.989,29.175,0.258,1.506,0.046
SVC,2953.984,rbf,0.100,0.270,0.011,0.730,0.989,28.509,0.199,1.416,0.050
SVC,4431.876,rbf,0.100,0.270,0.011,0.730,0.989,28.451,0.253,1.423,0.059
SVC,6648.713,rbf,0.100,0.270,0.011,0.730,0.989,28.552,0.220,1.439,0.039
SVC,9973.970,rbf,0.100,0.270,0.011,0.730,0.989,28.471,0.324,1.396,0.082
SVC,14961.855,rbf,0.100,0.270,0.011,0.730,0.989,28.447,0.216,1.416,0.056
SVC,22443.683,rbf,0.100,0.270,0.011,0.730,0.989,28.405,0.271,1.400,0.071
SVC,33666.424,rbf,0.100,0.270,0.011,0.730,0.989,28.410,0.257,1.388,0.056
SVC,50500.537,rbf,0.100,0.270,0.011,0.730,0.989,28.504,0.221,1.450,0.069
SVC,75751.705,rbf,0.100,0.270,0.011,0.730,0.989,28.631,0.178,1.417,0.062
SVC,113628.457,rbf,0.100,0.270,0.011,0.730,0.989,28.341,0.290,1.385,0.051
SVC,170443.586,rbf,0.100,0.270,0.011,0.730,0.989,28.338,0.304,1.392,0.076
SVC,2.000,sigmoid,0.100,0.261,0.011,0.739,0.989,4.043,0.154,0.283,0.027
SVC,127836.039,sigmoid,0.100,0.261,0.011,0.739,0.989,4.042,0.093,0.301,0.023